title,is_onion
Trump threatens to close U.S.-Mexico border next week,0
German Government Refuses to Recognise Guaido’s Envoy as Ambassador,0
Netanyahu Takes Shot At Obama In Campaign Ad,0
MPs asked to vote on withdrawal agreement only,0
The shock of the nude: Brazil's stark new form of political protest,0
"Venezuela’s opposition leader Juan Guaido will be barred from public office for 15 years, the government comptroller said on Thursday, as it seeks to crack down on the U.S.-backed rival to President Nicolas Maduro.",0
"Saudi Arabia Releases 3 Women's Rights Activists From Prison, Others Still Held",0
George Clooney calls for hotel boycott over Brunei LGBT laws,0
Marijuana Policies Will Require Big Changes To Make CBD As Accessible As Vitamin C,0
"EU tells China to rebalance relations, no longer considers it a developing nation",0
World's Best Hospitals - Top 100 Global,0
Australia's recycling crisis deepens as India bans plastic waste imports,0
"India shot down its own helicopter while trying to target Pakistani jet, killing 7 – report",0
Venezuela: Germany declines to recognize Juan Guaido's Berlin emissary,0
Authorities recover body of dead tourist who fell into Grand Canyon while taking photos,0
Venezuela: Maduro blames blackout on sniper and tells people to pray,0
"For the winner of $768.4 million Powerball jackpot, the taxman cometh",0
Sydney airport: flights grounded as air traffic control tower evacuated | Australia news,0
World's longest salt cave found near site of meteor strike that gave rise to the legend of Soddom and Gomorrah.,0
Brexit: Donald Tusk calls emergency EU summit after May defeated again,0
"France 2019, record 1,100 dead dolphins; aggressive industrial fishing blamed",0
Secrets of horrific battle with Cleopatra that gave birth to Roman Empire revealed by ancient monument - Remarkable research into the first Roman Emperor’s victory monument in the ancient city of Nicopolis uncovers his history-changing advantage,0
Extremely rare 'blonde' zebra photographed in Serengeti,0
Theresa May's Brexit deal defeated for a third time,0
"Parliament sinks May's Brexit deal again, EU braces for no-deal exit",0
Huawei sales top $100bn despite backlash,0
Finnish Police Uncover Child Abuse Video Network,0
U.S. approved secret nuclear power work for Saudi Arabia,0
Italy just made it easier to claim self-defence if you kill or injure an intruder,0
"Imran Khan dodges questions on Chinese Muslim detentions; ""If I had enough knowledge I would speak about it. It is not so much in the papers,"" Pakistan's Prime Minister said",0
"In ancient oceans that resembled our own, oxygen loss triggered mass extinction | For the first time, a team of researchers has uncovered conclusive evidence linking the period's sea level rise and ocean oxygen depletion to the widespread decimation of marine species",0
AstraZeneca pays up to $6.9 billion in Daiichi Sankyo cancer deal,0
Dubai court returns $616 million superyacht to Russian tycoon amid costly divorce battle,0
Authorities at odds over claim Adelaide Oval staff told not to admit Aboriginal people,0
Guatemala Dismantles Ring of Police Moonlighting as Hitmen,0
Trump threatens to close the U.S.-Mexico border,0
"SNC-Lavalin warned of U.S. move, slashing workforce if no plea deal, documents show",0
"Britain rebukes Huawei over security failings, discloses more flaws",0
Botticelli 'imitation' is found to be the real thing - A painting dismissed as an imitation of Sandro Botticelli's Madonna Of The Pomegranate has actually turned out to be the real thing.,0
Boeing anti-stall device 'activated',0
Sentencing Date Set For April 26 For NRA-Linked Russian Agent Maria Butina,0
"A Peruvian judge said Wednesday that soldiers had committed crimes against humanity by ""systematically"" raping nine female farmers between 1984 and 1995 during the conflict with the Shining Path guerrillas",0
Prominent Egyptian activist freed from jail,0
China’s power industry calls for hundreds of new coal power plants by 2030,0
WTO rules against US and Boeing in mammoth trade row with EU,0
Pope Francis requires sex abuse allegations be reported to Vatican,0
Justin Trudeau's approval rating continues to dwindle,0
Budgam: Indian missile fired before Mi17 V5 chopper crash,0
LGBT in Birmingham feel threatened after Parents protest over LGBT education,0
Spain says suspects in North Korean Embassy raid reached out to FBI,0
"Israeli army kills Palestinian medical volunteer wearing reflective vest, report says",0
British lawmakers set for 3rd vote on Theresa May's Brexit plan,0
"Russia confirms its military arrived in Venezuela over the weekend: ""Every right to be there""",0
"Trump Backs ‘Friend of His’ Johnson as Potential UK PM, Praises May’s ‘Fighting’",0
"EU cannot betray 'increasing majority' who want UK to remain, says Tusk - EC president hails those who marched against Brexit and millions who petitioned to revoke article 50",0
Google’s Privacy Angst Is Causing Big Problems for These 3 Stocks,0
"Banksy artwork depicting MPs as chimps put on display 'to mark Brexit day' - 'Laugh now, but one day no-one will be in charge'",0
Palestinian Authority Education Ministry Honors Notorious Female Terrorist,0
'The nation that discovers the cure': Jacinda Ardern's anti-racism speech sparks standing ovation,0
Some Salvadoran migrants look to other nations for refuge as US tightens border,0
Call for inquiry into bank's signatures,0
British MPs will be asked to vote again on Brexit on Friday,0
"Australian senator suggests worst gun massacre was a conspiracy: Pauline Hanson floats the idea the 1996 Port Arthur shooting, which left 35 people dead, was a false flag operation",0
Climate change: Global impacts 'accelerating' - WMO,0
Trump threatens to completely close southern border as early as next week if Mexico doesn't stop 'illegal immigration',0
Mysterious odor forces emergency landing of United flight,0
"Israel convicts French consulate worker of Gaza-West Bank gun-running; Prosecutors seek seven years for Romain Franck, 24, who used official car to smuggle dozens of weapons for financial gain",0
"Rammstein depicts grim scenes from Holocaust in new “Deutschland” music video, prompting rebuke from Israel",0
Germany extends ban on arms sales to Saudi Arabia,0
Fukushima contaminants found as far north as Alaska's Bering Strait,0
"Chirlane McCray, de Blasio’s Wife, Is Questioned Over His ‘Revolutionary’ $1 Billion Mental Health Plan",0
Brunei to punish gay sex and adultery with death by stoning,0
30 year mystery of Garfield phones washing up on French beaches solved,0
"20,000 attend memorial for victims of New Zealand mosque attack",0
Mozambique to start mass cholera vaccinations as tens of thousands still displaced by cyclone,0
Harrowing scenes after Cyclone Idai with inland ocean visible from outer space,0
Spanish police nab neo-Nazi wanted in Germany over attempted bombing,0
"At memorial, mosque survivor says he forgives attacker",0
Christchurch memorial: standing ovation for Ardern at New Zealand service,0
US undermining UN anti-terror body by forcefully moving resolution on Masood Azhar in UNSC: China,0
‘Little pygmy’ – that is what Pakistani minister Shireen Mazari called US envoy John Bass in twitter war; Diplomatic row erupted over peace talks between Washington and the Taliban in Afghanistan,0
Denmark plans to deprive jihadists' children of their citizenship,0
Russia rejects Trump call to pull military personnel out of Venezuela,0
"Revolt at the Osservatore Romano, the women editors leave. Monda's baffled reaction, “Total freedom was always guaranteed”",0
Sweden releases alleged Russian spy from custody,0
"""Trump administration reportedly approves secret nuclear power tech sales to Saudi Arabia"".",0
How hydrogen is transforming these tiny Scottish islands,0
Initial findings put Boeing’s software at center of Ethiopian 737 crash,0
MPs reject Theresa May's Brexit deal by 58 votes | Politics,0
Massive fire breaks out in high-rise building in Bangladesh capital,0
AP News: Venezuelan gov't bars Guaido from public office for 15 years,0
U.K’s carbon emission dropped by 3% and overall carbon emissions are down to level not seen in U.K. since 1890,0
Saudi Arabia temporarily frees three women activists,0
Banksy's 'Devolved Parliament' of chimps back on show in time for Brexit,0
Russian Navy tracks NATO squadron entering Black Sea,0
Bill to lower voting age to 16 in Australia shut down by parliamentary inquiry,0
‘He’s not a Roman emperor’: pope’s reluctance to have ring kissed defended | World news,0
Romania failing to punish illegal coal power plants,0
"After Only 86 Days, Brazil's Bolsonaro Is Already in Trouble",0
Things that didn't last as long as Brexit,0
"Following Italy, Luxembourg Signs Accord With China on Belt and Road Initiative",0
"Rescued migrants hijack ship, demand it head toward Europe",0
PS Plus April 2019: PS4 Games Update and more PlayStation,0
Ukraine’s minister: incumbent and his rival bribe voters,0
U.S. orders foreign firms to further cut down on oil trades with Venezuela,0
"Deadly skin-eating fungal disease wipes out 90 amphibian species in 50 yrs - Study reveals extent of chytrid fungus &amp; how devastating it has been for frog, toad &amp; salamander species worldwide",0
Russia Orders Major VPN Providers to Block ‘Banned’ Sites,0
Mexico braces for new caravan of Central American migrants,0
‘Slave’ to NXIVM ‘Sex Cult’ Leader Pleads Guilty to Racketeering,0
Hundreds of Chinese vessels circling Pag-asa Island.,0
UK Prime Minister Theresa May says vote on her EU divorce deal is ‘the last opportunity to guarantee Brexit’,0
"Record 1,100 dead dolphins wash up on French beaches since January: The mass deaths, widely blamed on industrial fishing",0
WTO says U.S. failed to halt state tax subsidy for Boeing,0
Swedbank sacks boss as money laundering scandal engulfs another Nordic bank,0
Deutsche Bank shares slide on report of capital raising for merger with Commerzbank,0
U.S. &amp; Brazil Defense Officials Look to Build on Military-to-Military Partnership,0
Algeria: police fire tear gas at protesters,0
Bristol residents fear losing their lamp-posts to richer areas,0
"Mars had gushing rivers flowing along its surface in the past billion years, finds new study. The unexpected discovery raises important questions about how a planet with so little sunlight and atmosphere stayed warm enough to host not just a little surface water, but fast-flowing rivers.",0
"Cameroon: New Attacks on Civilians By Troops, Separatists - At Least 170 Killed; Hundreds of Homes Burned",0
Iran to ‘resist’ Trump decision on Israel’s hold over Golan,0
Factbox: Conservative lawmakers who have switched to back UK PM May's Brexit deal,0
US-Mexico border official says migrant crisis 'at breaking point',0
"European Court of Human Rights rules police can preventatively detain people even if they have no specific intelligence linking the individual to crime, not a breach of right to liberty.",0
Norway Becoming Increasingly Dependent on Russia in the Arctic,0
"For decades, Garfield telephones kept washing ashore in France. Now the mystery has been solved.",0
UAE official says Arab countries should be more open to Israel,0
Turkey's Erdogan says he plans to change Hagia Sophia's title from museum to mosque,0
Upstart liberal vs establishment in Slovak president vote,0
EU parliament approves ban on single use plastics,0
Libyan official: Migrants used metal tools to threaten crew,0
French Airforce Rafale fleet partially grounded pending safety review,0
"Consumer Perception of Frozen Food Is Improving, NFRF Study Shows",0
Philippines journalist and prominent Duterte critic Maria Ressa arrested in Manila,0
"NJ cop sentenced 5 years for beating hospitalized suicide victim, selling stolen drugs in uniform",0
"Russian police raid Scientology offices, accusing church of siphoning millions of dollars back to the U.S.",0
Pakistani men who 'forcibly converted' minor Hindu sisters were already married: Sindh police,0
Saudi Arabia is buying more weapons than ever before,0
Gay sex punishable by stoning to death under new Brunei law,0
Brexit supporters demand a quick way out of the EU in pro-Brexit march,0
Top UAE minister urges strategic shift in Arab-Israel ties; boycott was mistake,0
All 28 states of the European Union unanimously declare they will not recognize Israeli sovereignty over the occupied Golan Heights.,0
US calls for probe into Yemen hospital bombing,0
"As China Pushes Traditional Medicine Globally, Illegal Wildlife Trade Flourishes - Since Jan., Hong Kong has seized record volumes of threatened species, including 8.3 tons of pangolin scales from nearly 14,000 pangolins &amp; its largest ever haul of rhino horns, worth over $1 million.",0
"TUI sticks with Boeing, sees 737 MAXs flying by mid-July",0
UK parliament to vote on May's Brexit withdrawal deal Friday,0
"Stocks gain on trade hopes, set for best quarter since 2012",0
Thousands Overwhelm Syrian Refugee Camp — Most Are The Families Of ISIS Fighters,0
"Deadly blaze hits Dhaka skyscraper, At least 19 people dead",0
Pakistan dismisses Indian terror dossier as mostly 'social media content',0
India Goes Electric With Battery-Swapping Rickshaws,0
EU has bigger problems on the horizon than brexit,0
EPA Science Panel Considering Guidelines That Upend Basic Air Pollution Science,0
Canada has granted asylum to Filipina who helped Edward Snowden hide in Hong Kong,0
Austria mulls dissolving far-right movement over Christchurch link,0
Donald Trump warns Russia to ‘get out’ of Venezuela,0
European parliament passes watershed resolution calling for reparations for crimes against Africa during European colonialism,0
What Brexit deal did MPs reject?,0
NSA contractor pleads guilty to data theft,0
"The Vatican issued tougher, comprehensive laws Friday governing the sexual abuse of minors within the Vatican City State, Vatican offices and its diplomatic embassies abroad.",0
Bosnia top courts reiterates ban of Serb holiday,0
A Pakistani inmate brutally murdered in Indian jail,0
"'Russian hoax is dead', Trump tells rally",0
Donald Tusk calls emergency EU summit over Brexit,0
Russia Is Stocking Up on Gold as Putin Ditches U.S. Dollars,0
"Pakistan, China Slam Fresh US Anti-Terror Move in UN",0
Mnuchin says U.S.-China trade talks were 'constructive',0
BBC pays damages to Ukraine President Poroshenko over report,0
Guatemala: 32 dead after truck hits crowd gathered at road accident,0
Macron divides Yellow Vest protesters into goodies &amp; baddies during school visit,0
"7, including 4 children, killed in early morning Yemen hospital bombing",0
"Trump administration keeps Congress in dark over secret nuclear tech deal with Saudi Arabia, despite Khashoggi murder",0
Tanker hijacked by rescued migrants arrives safely in Malta,0
Antidepressant prescriptions have reached 70 million in England,0
French court orders demolition of €57m ‘pharaonic’ chateau,0
'Being Drunk Is No Excuse.' - Australian Prime Minister Criticizes Far-Right Party Over Gun Lobby Recording. Party members said they were drunk when they asked the U.S. gun lobby for money.,0
"Plastic-eating bacteria found in Zambales, Philippines",0
"WTO rules against US and Boeing in mammoth trade row with EU: The US failed to end Boeing subsidies even after the WTO ruled such measures illegal, according to the trade body. The EU declared ""final victory"" in the massive trade spat, but the bloc also faces issues over Airbus",0
Trump threatens to stop 'all trade' with Mexico,0
Thousands of Jordanians join annual protest against Israel,0
Thai Election commission says Junta Party won Popular Vote,0
Hamas turns violent on peaceful protesters in Gaza,0
"Pope Issues Law, With Penalties, for Vatican City to Address Sexual Abuse",0
"New UN Global Climate report ‘another strong wake-up call’ over global warming | Guterres reiterated his call for action, underlining that the alarming conclusion that climate change is accelerating, “proves what we have been saying: climate change is moving faster than our efforts to address it.”",0
"Russia's athletes now clean, Putin says, as Olympics grapple with new cheating allegations",0
Kids suffer most in one of Earth's most polluted cities,0
Himalayan Viagra: The Chinese herbal medicine worth more than gold being used for bribery,0
